Variable,Outcome,Count,Percent
normalized-losses,161,11,6.71
normalized-losses,91,8,4.88
normalized-losses,150,7,4.27
normalized-losses,128,6,3.66
normalized-losses,134,6,3.66
normalized-losses,104,6,3.66
normalized-losses,95,5,3.05
normalized-losses,102,5,3.05
normalized-losses,103,5,3.05
normalized-losses,74,5,3.05
normalized-losses,85,5,3.05
normalized-losses,168,5,3.05
normalized-losses,94,5,3.05
normalized-losses,65,5,3.05
normalized-losses,118,4,2.44
normalized-losses,93,4,2.44
normalized-losses,148,4,2.44
normalized-losses,122,4,2.44
normalized-losses,106,4,2.44
normalized-losses,101,3,1.83
normalized-losses,125,3,1.83
normalized-losses,137,3,1.83
normalized-losses,154,3,1.83
normalized-losses,83,3,1.83
normalized-losses,115,3,1.83
normalized-losses,145,2,1.22
normalized-losses,153,2,1.22
normalized-losses,129,2,1.22
normalized-losses,113,2,1.22
normalized-losses,110,2,1.22
normalized-losses,81,2,1.22
normalized-losses,188,2,1.22
normalized-losses,192,2,1.22
normalized-losses,119,2,1.22
normalized-losses,158,2,1.22
normalized-losses,89,2,1.22
normalized-losses,108,2,1.22
normalized-losses,197,2,1.22
normalized-losses,194,2,1.22
normalized-losses,87,2,1.22
normalized-losses,164,2,1.22
normalized-losses,98,1,0.61
normalized-losses,142,1,0.61
normalized-losses,90,1,0.61
normalized-losses,121,1,0.61
normalized-losses,78,1,0.61
normalized-losses,77,1,0.61
normalized-losses,231,1,0.61
normalized-losses,186,1,0.61
normalized-losses,107,1,0.61
normalized-losses,256,1,0.61
make,toyota,32,15.92
make,nissan,18,8.96
make,mazda,17,8.46
make,mitsubishi,13,6.47
make,honda,13,6.47
make,volkswagen,12,5.97
make,subaru,12,5.97
make,peugot,11,5.47
make,volvo,11,5.47
make,dodge,9,4.48
make,bmw,8,3.98
make,mercedes-benz,8,3.98
make,plymouth,7,3.48
make,audi,6,2.99
make,saab,6,2.99
make,porsche,4,1.99
make,jaguar,3,1.49
make,chevrolet,3,1.49
make,alfa-romero,3,1.49
make,isuzu,2,1.0
make,renault,2,1.0
make,mercury,1,0.5
fuel-type,gas,181,90.05
fuel-type,diesel,20,9.95
aspiration,std,165,82.09
aspiration,turbo,36,17.91
num-of-doors,four,113,56.78
num-of-doors,two,86,43.22
body-style,sedan,94,46.77
body-style,hatchback,68,33.83
body-style,wagon,25,12.44
body-style,hardtop,8,3.98
body-style,convertible,6,2.99
drive-wheels,fwd,118,58.71
drive-wheels,rwd,75,37.31
drive-wheels,4wd,8,3.98
engine-location,front,198,98.51
engine-location,rear,3,1.49
engine-type,ohc,145,72.14
engine-type,ohcf,15,7.46
engine-type,ohcv,13,6.47
engine-type,dohc,12,5.97
engine-type,l,12,5.97
engine-type,rotor,4,1.99
num-of-cylinders,four,157,78.11
num-of-cylinders,six,24,11.94
num-of-cylinders,five,10,4.98
num-of-cylinders,two,4,1.99
num-of-cylinders,eight,4,1.99
num-of-cylinders,three,1,0.5
num-of-cylinders,twelve,1,0.5
fuel-system,mpfi,92,45.77
fuel-system,2bbl,64,31.84
fuel-system,idi,20,9.95
fuel-system,1bbl,11,5.47
fuel-system,spdi,9,4.48
fuel-system,4bbl,3,1.49
fuel-system,mfi,1,0.5
fuel-system,spfi,1,0.5
bore,3.62,23,11.68
bore,3.19,20,10.15
bore,3.15,15,7.61
bore,2.97,12,6.09
bore,3.03,10,5.08
bore,3.46,9,4.57
bore,3.31,8,4.06
bore,3.78,8,4.06
bore,3.43,8,4.06
bore,2.91,7,3.55
bore,3.27,7,3.55
bore,3.58,6,3.05
bore,3.39,6,3.05
bore,3.05,6,3.05
bore,3.54,6,3.05
bore,3.01,5,2.54
bore,3.70,5,2.54
bore,3.35,4,2.03
bore,3.17,3,1.52
bore,3.59,3,1.52
bore,3.74,3,1.52
bore,3.24,2,1.02
bore,3.47,2,1.02
bore,3.80,2,1.02
bore,3.63,2,1.02
bore,3.50,2,1.02
bore,3.33,2,1.02
bore,3.94,1,0.51
bore,3.13,1,0.51
bore,3.34,1,0.51
bore,2.54,1,0.51
bore,3.60,1,0.51
bore,2.99,1,0.51
bore,3.61,1,0.51
bore,2.92,1,0.51
bore,3.08,1,0.51
bore,2.68,1,0.51
bore,3.76,1,0.51
stroke,3.40,19,9.64
stroke,3.23,14,7.11
stroke,3.15,14,7.11
stroke,3.03,14,7.11
stroke,3.39,13,6.6
stroke,2.64,11,5.58
stroke,3.29,9,4.57
stroke,3.35,9,4.57
stroke,3.46,8,4.06
stroke,3.27,6,3.05
stroke,3.19,6,3.05
stroke,3.41,6,3.05
stroke,3.07,6,3.05
stroke,3.50,6,3.05
stroke,3.58,6,3.05
stroke,3.52,5,2.54
stroke,3.64,5,2.54
stroke,3.54,4,2.03
stroke,3.86,4,2.03
stroke,3.47,4,2.03
stroke,3.11,3,1.52
stroke,2.90,3,1.52
stroke,3.90,3,1.52
stroke,3.10,2,1.02
stroke,2.80,2,1.02
stroke,4.17,2,1.02
stroke,2.68,2,1.02
stroke,2.19,2,1.02
stroke,3.08,2,1.02
stroke,3.12,1,0.51
stroke,3.21,1,0.51
stroke,2.07,1,0.51
stroke,2.36,1,0.51
stroke,3.16,1,0.51
stroke,2.76,1,0.51
stroke,2.87,1,0.51
horsepower,68,19,9.55
horsepower,69,10,5.03
horsepower,116,9,4.52
horsepower,70,9,4.52
horsepower,110,8,4.02
horsepower,95,7,3.52
horsepower,114,6,3.02
horsepower,101,6,3.02
horsepower,62,6,3.02
horsepower,88,6,3.02
horsepower,84,5,2.51
horsepower,160,5,2.51
horsepower,145,5,2.51
horsepower,102,5,2.51
horsepower,82,5,2.51
horsepower,76,5,2.51
horsepower,97,5,2.51
horsepower,123,4,2.01
horsepower,111,4,2.01
horsepower,86,4,2.01
horsepower,92,4,2.01
horsepower,182,3,1.51
horsepower,152,3,1.51
horsepower,121,3,1.51
horsepower,207,3,1.51
horsepower,85,3,1.51
horsepower,73,3,1.51
horsepower,90,3,1.51
horsepower,100,2,1.01
horsepower,162,2,1.01
horsepower,184,2,1.01
horsepower,176,2,1.01
horsepower,155,2,1.01
horsepower,56,2,1.01
horsepower,52,2,1.01
horsepower,94,2,1.01
horsepower,161,2,1.01
horsepower,112,2,1.01
horsepower,156,2,1.01
horsepower,175,1,0.5
horsepower,200,1,0.5
horsepower,142,1,0.5
horsepower,143,1,0.5
horsepower,154,1,0.5
horsepower,72,1,0.5
horsepower,120,1,0.5
horsepower,64,1,0.5
horsepower,135,1,0.5
horsepower,78,1,0.5
horsepower,262,1,0.5
horsepower,60,1,0.5
horsepower,58,1,0.5
horsepower,48,1,0.5
horsepower,140,1,0.5
horsepower,115,1,0.5
horsepower,134,1,0.5
horsepower,55,1,0.5
horsepower,106,1,0.5
peak-rpm,5500,36,18.09
peak-rpm,4800,36,18.09
peak-rpm,5000,27,13.57
peak-rpm,5200,23,11.56
peak-rpm,5400,11,5.53
peak-rpm,6000,9,4.52
peak-rpm,5800,7,3.52
peak-rpm,5250,7,3.52
peak-rpm,4500,7,3.52
peak-rpm,4150,5,2.51
peak-rpm,4200,5,2.51
peak-rpm,4750,4,2.01
peak-rpm,4350,4,2.01
peak-rpm,5100,3,1.51
peak-rpm,5900,3,1.51
peak-rpm,4250,3,1.51
peak-rpm,4400,3,1.51
peak-rpm,6600,2,1.01
peak-rpm,4650,1,0.5
peak-rpm,5600,1,0.5
peak-rpm,4900,1,0.5
peak-rpm,5300,1,0.5
